Region,Division,School_ID,School_Name,IndexScore
Region X,Ozamis City,501205,Cruz Lanzado Saligan Integrated School,0.07
Region X,Ozamis City,501206,Jacinto Nemeno Integrated School,0.08
Region XII,Sarangani,501284,Kaltuad Integrated School,0.29
CARAGA,Agusan del Sur,501285,Maasin Integrated School,0.3
CARAGA,Agusan del Sur,501286,San Pedro Integrated School,0.15
CARAGA,Agusan del Sur,501291,Bentahon Integrated School,0.31
Region VII,Cebu,501352,Bugho Integrated School,0.27
Region XI,Davao Oriental,501420,Spur 2 Integrated School,0.26
Region XI,Davao Oriental,501421,San Isidro Integrated School,0.26
Region VI,Iloilo,501480,Puente Bunglas Integrated School,0.27
Region VI,Iloilo,501484,Embarcadero Integrated School,0.22
Region V,Masbate,501524,Busing Integrated School,0.36
Region V,Sorsogon,501532,San Rafael Integrated School,0.36
Region V,Masbate,501535,Rizal Integrated School,0.35
Region V,Masbate,501545,Madamba Integrated School,0.2
Region X,Bukidnon,501567,Sil-Ipon Integrated School,0.24
Region II,Isabela,501615,Sta. Cruz Integrated School,0.18
Region XII,Sarangani,501651,Domnar-Lopez-Copada IP Integrated School,0.31
Region X,Bukidnon,501653,Basac Integrated School,0.2
Region X,Misamis Occidental,501654,Carmen Integrated School,0.34
Region XII,Sultan Kudarat,501672,Legodon Integrated School,0.29
Region V,Camarines Sur,300312,Calabnigan Green Meadows High School,0.3
Region I,Dagupan City,300369,Carael National HS,0.08
Region I,Dagupan City,300370,Salapingao National High School,0.07
Region II,Nueva Vizcaya,300616,Casecnan National High School,0.29
Region II,Nueva Vizcaya,300624,Bugkalot High School,0.23
Region II,Nueva Vizcaya,300625,Carolotan High School,0.15
Region II,Nueva Vizcaya,300629,Ganao National HS,0.19
Region II,Nueva Vizcaya,300630,Kakiduguen NHS,0.22
Region II,Nueva Vizcaya,300633,Martinez Cuyangan National High School,0.19
Region II,Nueva Vizcaya,300639,Nansiakan NHS,0.21
Region XI,Compostela Valley,300640,Camansi National High School,0.22
Region IV-A,Quezon,301364,Paaralang Sek. Ng Lukban Integrated(formerly Paaralang Sekundarya ng Lucban),0.09
Region IV-A,Quezon,301398,Sanmandelcar National High School,0.28
Region IV-B,Occidental Mindoro,301605,Sta Teresa NHS,0.32
Region IV-B,Oriental Mindoro,301621,Maujao NHS,0.29
Region IV-B,Palawan,301691,Dumaran National High School,0.35
Region IV-B,Palawan,301700,Ipilan National High School,0.33
Region V,Camarines Sur,302011,Pambuhan National High School,0.33
Region V,Sorsogon,302183,Bagatao NHS,0.21
Region V,Sorsogon,302185,Bentuco NHS,0.29
Region V,Sorsogon,302189,Bulacao NHS,0.12
Region V,Sorsogon,302199,Buenavista NHS,0.27
Region V,Sorsogon,302200,Culasi NHS,0.33
Region V,Sorsogon,302205,Banuang Gurang NHS,0.26
Region V,Sorsogon,302206,Donsol National Comprehensive HS - Sta. Cruz Extension HS,0.33
Region V,Sorsogon,302217,Lungib National High School,0.24
Region V,Sorsogon,302221,Cagbolo National Vocational HS,0.23
Region V,Sorsogon,302229,Palanas NHS,0.17
Region V,Sorsogon,302233,Quezon NHS,0.24
Region V,Sorsogon,302244,Del Carmen Memorial HS,0.17
Region V,Sorsogon,302246,Sua HS,0.32
Region V,Sorsogon,302248,Tingco NHS,0.3
Region VI,Negros Occidental,302601,Bulwangan National High School - Talacagay Ext.,0.33
Region VI,Bacolod City,302701,Bacolod City NHS,0.04
Region VII,Bohol,302896,Sikatuna Nat'l Agricultural HS,0.36
Region VII,Cebu,302943,El Pardo NHS,0.25
Region IX,Zamboanga del Norte,302958,Ubay NHS - Patawag Extension,0.28
Region VII,Cebu,303028,Kinatarcan NHS,0.36
Region VII,Cebu,303057,Montañeza NHS,0.34
Region VII,Cebu,303089,San Sebastian NHS,0.34
Region VII,Bais City,303214,Dodong Escaño Memorial High School,0.15
Region VII,Bais City,303215,Lonoy National High School,0.18
Region VII,Negros Oriental,303257,Owacan Provincial Comm. HS,0.33
Region VII,Negros Oriental,303258,Pacuan National High School,0.32
Region VII,Negros Oriental,303290,Bago National High School,0.34
Region IX,Zamboanga del Norte,303673,Bacungan NHS - Palandok Annex,0.3
Region IX,Zamboanga del Norte,303676,Balakan NHS,0.3
Region IX,Zamboanga del Norte,303732,Gunyan NHS,0.36
Region IX,Zamboanga del Sur,303785,Picanan NHS,0.25
Region IX,Zamboanga Sibugay,303851,Olutanga NHS,0.35
Region IX,Pagadian City,303903,Lison Valley NHS,0.19
